Protein names	Gene names	PEP	log2 H/L Sample HA_IP
Cytochrome c oxidase subunit 5B, mitochondrial	Cox5b	6,45E-05	1,582857702
Borealin	Cdca8	0,00038153	1,57565833
Protein BRICK1	Brk1	0,00039472	1,571707504
Synaptic vesicle membrane protein VAT-1 homolog	Vat1	0,00042642	1,568152431
Adenylate kinase isoenzyme 6	Taf9	0,00017024	1,560813061
Neurabin-2	Ppp1r9b	0,0002618	1,540190707
	Sec24b	0,00025136	1,531948506
"Septin-7;Septin-14;Septin-10"	"Sept7;Sept14;Sept10"	9,17E-08	1,526826137
AMME syndrome candidate gene 1 protein homolog	Ammecr1	6,72E-05	1,525454931
Importin-5	Ipo5	6,63E-06	1,518825078
LIM and SH3 domain protein 1	Lasp1	4,23E-16	1,518742397
Glutamine synthetase	Glul	1,01E-07	1,478788414
AH receptor-interacting protein	Aip	6,23E-07	1,472649362
Proliferating cell nuclear antigen	Pcna	6,11E-09	1,471568707
LanC-like protein 2	Lancl2	1,26E-05	1,465898545
	Gm15800	0,0002481	1,433506292
Lethal(2) giant larvae protein homolog 1	Llgl1	0,00019151	1,412961513
Transformation/transcription domain-associated protein	Trrap	3,84E-05	1,375047547
Putative transferase CAF17 homolog, mitochondrial	Iba57	1,59E-06	1,374897874
Ribonuclease 3	Drosha	2,30E-05	1,372355811
Lanosterol synthase	Lss	0,00011645	1,359045967
H/ACA ribonucleoprotein complex non-core subunit NAF1	Naf1	1,05E-06	1,353837343
Uncharacterized protein C1orf122 homolog	1110065P20Rik	0,00021055	1,331808243
Ras-related protein Rab-14	Rab14	0,000467	1,321675645
Actin-related protein 2/3 complex subunit 2	Arpc2	0,0010008	1,315522344
Apoptotic chromatin condensation inducer in the nucleus	Acin1	4,22E-05	1,26999921
Leukocyte receptor cluster member 8 homolog	Leng8	6,68E-06	1,229044129
"Protein-arginine deiminase type-3;Protein-arginine deiminase type-4"	"Padi3;Padi4"	0,0002453	1,186721595
Tetratricopeptide repeat protein 9B	Ttc9b	0,00017113	1,156434156
Hydroxyacylglutathione hydrolase, mitochondrial	Hagh	4,41E-07	1,156434156
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	Alkbh3	7,50E-05	1,15286897
COP9 signalosome complex subunit 4	Cops4	1,18E-05	1,15187486
Acetyl-CoA acetyltransferase, cytosolic	"Acat2;Acat3"	0,0011625	1,131629303
	Sec24c	0,00026525	1,111476885
"Citrate synthase, mitochondrial;Citrate synthase"	"Cs;Csl"	3,31E-05	1,084823322
Cyclin-dependent kinase inhibitor 1B	Cdkn1b	8,22E-07	1,084364377
26S proteasome non-ATPase regulatory subunit 9	Psmd9	0,0002428	1,078015336
"Peptidyl-prolyl cis-trans isomerase FKBP1A;Peptidyl-prolyl cis-trans isomerase"	Fkbp1a	1,89E-14	1,074152452
Tubulin-specific chaperone E	Tbce	2,66E-06	1,073120047
Tyrosine-protein phosphatase non-receptor type 11	Ptpn11	1,23E-06	0,981565225
Serine hydroxymethyltransferase, cytosolic	Shmt1	1,65E-06	0,927249334
Prefoldin subunit 3	Vbp1	0,0014785	0,908713149
C-Jun-amino-terminal kinase-interacting protein 3	Mapk8ip3	1,95E-06	0,873344254
Molybdopterin synthase catalytic subunit	Mocs2	0,00013816	0,840396646
Anamorsin	Ciapin1	0,00059666	0,819928541
Peflin	Pef1	2,02E-05	0,804702802
A-kinase anchor protein 9	Akap9	0,0011534	0,80102817
Myotrophin	Mtpn	0,00037864	0,799370102
Delta-aminolevulinic acid dehydratase	Alad	6,41E-05	0,775169424
Charged multivesicular body protein 1a	Chmp1a	0,000105	0,753920319
PITH domain-containing protein 1	Pithd1	3,86E-05	0,743689772
Protein ETHE1, mitochondrial	Ethe1	0,00040812	0,655762334
"Transcription factor COE3;Transcription factor COE2;Transcription factor COE1;Transcription factor COE4"	"Ebf3;Ebf4;Ebf2;Ebf1"	3,97E-16	0,59207083
	Stox1	0,0005632	0,523711643
Sjoegren syndrome/scleroderma autoantigen 1 homolog	Sssca1	3,68E-16	0,503159322
Abl interactor 1	Abi1	2,12E-06	0,490030591
Exosome complex component RRP45	Exosc9	0,0002599	-0,016638942
RAD51-associated protein 1	Rad51ap1	2,85E-05	-0,333652715
SAFB-like transcription modulator	Sltm	0,00045405	-0,680504401
Centromere protein V	Cenpv	0,0022879	#VALUE!
	Rpl39l	0,010458	#VALUE!
PAP-associated domain-containing protein 5	Papd5	0,0016242	#VALUE!
TATA box-binding protein-associated factor RNA polymerase I subunit B	Taf1b	4,39E-06	#VALUE!
E3 ubiquitin-protein ligase RNF123	Rnf123	0,0016021	#VALUE!
Mitochondrial import inner membrane translocase subunit TIM14	Dnajc19	1,17E-12	#VALUE!
Exonuclease 1	Exo1	0,0017311	#VALUE!
39S ribosomal protein L48, mitochondrial	Mrpl48	0,00086179	#VALUE!
FERM, RhoGEF and pleckstrin domain-containing protein 1	Farp1	0,0039293	#VALUE!
Rho GTPase-activating protein 19	Arhgap19	1,43E-07	#VALUE!
Zinc finger protein 62	Zfp62	0,010124	#VALUE!
Cirhin	Cirh1a	9,55E-07	#VALUE!
C-Myc-binding protein	Mycbp	0,0042224	#VALUE!
60S ribosomal protein L39	Rpl39	0,0024507	#VALUE!
U3 small nucleolar RNA-associated protein 15 homolog	Utp15	2,53E-05	#VALUE!
39S ribosomal protein L27, mitochondrial	Mrpl27	3,70E-18	#VALUE!
Pre-mRNA-splicing factor SLU7	Slu7	0,0035227	#VALUE!
Peptidyl-prolyl cis-trans isomerase-like 3	Ppil3	0,0074439	#VALUE!
Mitochondrial nucleoid factor 1	Mnf1	0,00010158	#VALUE!
28S ribosomal protein S33, mitochondrial	Mrps33	0,009916	#VALUE!
"Tyrosine-protein kinase JAK1;Tyrosine-protein kinase"	Jak1	0,0053135	#VALUE!
Bcl-2-associated transcription factor 1	Bclaf1	0,0042548	#VALUE!
LETM1 domain-containing protein 1	Letmd1	0,010633	#VALUE!
39S ribosomal protein L49, mitochondrial	Mrpl49	0,00051026	#VALUE!
Coilin	Coil	0,0011945	#VALUE!
Protein lin-9 homolog	Lin9	0,0027414	#VALUE!
6.8 kDa mitochondrial proteolipid	Mp68	0,0096526	#VALUE!
WD repeat-containing protein 82	Wdr82	0,008609	#VALUE!
Echinoderm microtubule-associated protein-like 4	Eml4	0,0013255	#VALUE!
Cyclin-K	Ccnk	0,0072042	#VALUE!
CCR4-NOT transcription complex subunit 11	Cnot11	0,0051942	#VALUE!
Protein FAM210A	Fam210a	0,0029888	#VALUE!
CDKN2AIP N-terminal-like protein	Cdkn2aipnl	0,00081061	#VALUE!
Transmembrane protein 11, mitochondrial	Tmem11	0,001052	#VALUE!
Transcription factor A, mitochondrial	Tfam	0,001681	#VALUE!
Pinin	Pnn	0,0080551	#VALUE!
Protein LLP homolog	Llph	1,37E-06	#VALUE!
E3 ubiquitin-protein ligase TRIM32	Trim32	0,0029942	#VALUE!
"Nuclear factor 1;Nuclear factor 1 B-type"	Nfib	0,0087235	#VALUE!
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	Ndufb4	0,0065414	#VALUE!
Translocon-associated protein subunit gamma	Ssr3	1,08E-05	#VALUE!
Putative oxidoreductase GLYR1	Glyr1	0,0099577	#VALUE!
Optic atrophy 3 protein homolog	Opa3	0,0007724	#VALUE!
ATP synthase subunit b, mitochondrial	Atp5f1	0,0091945	#VALUE!
"Acyl-CoA desaturase 1;Acyl-CoA desaturase 2"	"Scd4;Scd1;Scd2;Scd3"	0,0038424	#VALUE!
Enhancer of rudimentary homolog	Erh	0,0028461	#VALUE!
Starch-binding domain-containing protein 1	Stbd1	0,0030375	#VALUE!
Uncharacterized aarF domain-containing protein kinase 1	Adck1	0,0016191	#VALUE!
Protein UXT	Uxt	0,0023653	#VALUE!
CDK5 regulatory subunit-associated protein 1	Cdk5rap1	0,0049982	#VALUE!
UPF0468 protein C16orf80 homolog	Gtl3	0,0057402	#VALUE!
DNA-directed RNA polymerase I subunit RPA1	Polr1a	0,0081497	#VALUE!
60S ribosomal protein L22-like 1	Rpl22l1	0,0024448	#VALUE!
THUMP domain-containing protein 1	Thumpd1	0,0080318	#VALUE!
H/ACA ribonucleoprotein complex subunit 2	Nhp2	0,00014272	#VALUE!
39S ribosomal protein L53, mitochondrial	Mrpl53	0,0051067	#VALUE!
Atlastin-2	Atl2	0,00031137	#VALUE!
Mitotic-spindle organizing protein 2	Mzt2	0,0019584	#VALUE!
Splicing factor 3B subunit 5	Sf3b5	0,00019073	#VALUE!
"Mitochondrial import inner membrane translocase subunit Tim8 A;Putative mitochondrial import inner membrane translocase subunit Tim8 A-B"	"Timm8a1;Timm8a2"	0,0016531	#VALUE!
Transmembrane protein 109	Tmem109	2,52E-05	#VALUE!
Calcineurin B homologous protein 1	Chp1	0,0035807	#VALUE!
WD repeat-containing protein 61	Wdr61	0,00069962	#VALUE!
H/ACA ribonucleoprotein complex subunit 3	Nop10	0,0079345	#VALUE!
Oligosaccharyltransferase complex subunit OSTC	Ostc	0,0029666	#VALUE!
39S ribosomal protein L18, mitochondrial	Mrpl18	0,004679	#VALUE!
Lysine-specific histone demethylase 1A	Kdm1a	0,0012181	#VALUE!
tRNA wybutosine-synthesizing protein 1 homolog	Tyw1	0,0057658	#VALUE!
CD2 antigen cytoplasmic tail-binding protein 2	Cd2bp2	0,0028792	#VALUE!
Kinetochore protein Nuf2	Nuf2	0,0024112	#VALUE!
LSM domain-containing protein 1	Lsmd1	0,0035853	#VALUE!
U1 small nuclear ribonucleoprotein C	Snrpc	0,00065378	#VALUE!
DDB1- and CUL4-associated factor 13	Dcaf13	0,0032059	#VALUE!
CCR4-NOT transcription complex subunit 7	Cnot7	0,00034454	#VALUE!
ATP synthase-coupling factor 6, mitochondrial	Atp5j	0,007577	#VALUE!
Isocitrate dehydrogenase [NADP], mitochondrial	Idh2	2,50E-06	#VALUE!
Mitochondrial import inner membrane translocase subunit Tim17-A	Timm17a	0,0070401	#VALUE!
ADP-ribosylation factor-like protein 1	Arl1	0,0050056	#VALUE!
"Vacuolar protein sorting-associated protein 4A;Vacuolar protein sorting-associated protein 4B;Fidgetin-like protein 1"	"Vps4a;Vps4b;Fignl1"	0,0067619	#VALUE!
Signal peptidase complex subunit 3	Spcs3	0,0064626	#VALUE!
"Prostaglandin E synthase 2;Prostaglandin E synthase 2 truncated form"	Ptges2	1,88E-05	#VALUE!
"Proto-oncogene tyrosine-protein kinase receptor Ret;Soluble RET kinase fragment;Extracellular cell-membrane anchored RET cadherin 120 kDa fragment"	Ret	0,0076529	#VALUE!
Negative elongation factor B	Nelfb	0,00032116	#VALUE!
15 kDa selenoprotein	15-Sep	0,0099719	#VALUE!
BRCA1-A complex subunit BRE	Bre	0,00039643	#VALUE!
Long-chain-fatty-acid--CoA ligase 4	Acsl4	0,0091235	#VALUE!
DNA primase large subunit	Prim2	0,0026299	#VALUE!
Cytochrome c, somatic	"Cycs;Gm10108"	0,0094047	#VALUE!
Trimethyllysine dioxygenase, mitochondrial	Tmlhe	0,00012789	#VALUE!
Inactive hydroxysteroid dehydrogenase-like protein 1	Hsdl1	0,0089264	#VALUE!
"Protein-L-isoaspartate O-methyltransferase;Protein-L-isoaspartate(D-aspartate) O-methyltransferase"	Pcmt1	0,0030154	#VALUE!
Polyamine-modulated factor 1	Pmf1	0,0019001	#VALUE!
GrpE protein homolog 2, mitochondrial	Grpel2	0,003098	#VALUE!
A-kinase anchor protein 3	Akap3	0,0036839	#VALUE!
"Ras-related protein Rap-1b;Ras-related protein Rap-1A"	"Rap1b;Rap1a"	0,0094122	#VALUE!
Ubiquitin-conjugating enzyme E2 H	Ube2h	0,00036929	#VALUE!
Ataxin-1	Atxn1	0,0047436	#VALUE!
Ragulator complex protein LAMTOR4	Lamtor4	0,0012497	#VALUE!
Actin-related protein 2/3 complex subunit 5-like protein	Arpc5l	0,00022033	#VALUE!
Protein arginine N-methyltransferase 3	Prmt3	0,0054583	#VALUE!
CDGSH iron-sulfur domain-containing protein 2	Cisd2	0,0095899	#VALUE!
	Spcs3	0,0040576	#VALUE!
Golgin subfamily A member 7	Golga7	0,0071759	#VALUE!
Catalase	Cat	4,59E-07	#VALUE!
Vesicle-fusing ATPase	Nsf	0,0079956	#VALUE!
	Olfr353	0,010106	#VALUE!
Dynactin subunit 5	Dctn5	0,0011027	#VALUE!
Selenoprotein M	Selm	0,00045921	#VALUE!
Target of Myb protein 1	Tom1	0,0049557	#VALUE!
Arginyl-tRNA--protein transferase 1	Ate1	0,0044497	#VALUE!
Isopentenyl-diphosphate Delta-isomerase 1	Idi1	0,0021118	#VALUE!
Pyridoxal kinase	Pdxk	0,0056325	#VALUE!
Actin-related protein 2/3 complex subunit 5	Arpc5	0,0014405	#VALUE!
Ran guanine nucleotide release factor	"Gm10355;Rangrf"	0,0052808	#VALUE!
ERO1-like protein alpha	Ero1l	0,00089333	#VALUE!
Cytosolic non-specific dipeptidase	Cndp2	0,0016806	#VALUE!
Mth938 domain-containing protein	Aamdc	0,0058668	#VALUE!
Barrier-to-autointegration factor	Banf1	0,00029577	#VALUE!
Alpha-centractin	Actr1a	0,00014963	#VALUE!
Calreticulin	Calr	4,61E-07	#VALUE!
Protein SET	Set	0,0092225	#VALUE!
V-set and transmembrane domain-containing protein 2A	Vstm2a	0,0038275	#VALUE!
Coiled-coil domain-containing protein 132	Ccdc132	0,0062615	9,462232009
	Mx1	0,010246	7,438989299
Sodium/hydrogen exchanger 4	Slc9a4	0,010113	6,713838014
Hypermethylated in cancer 2 protein	Hic2	0,0097239	6,439965963
Thymocyte nuclear protein 1	Thyn1	0,004016	6,259364245
Arylamine N-acetyltransferase 2	Nat2	0,01029	6,230587075
R3H domain-containing protein 4	R3hdm4	0,0017835	6,110193177
Interleukin-31 receptor subunit alpha	Il31ra	0,0094223	6,103729701
Tudor domain-containing protein 3	Tdrd3	1,32E-09	5,833618759
Serine/arginine-rich splicing factor 10	Srsf10	0,0046345	5,726386243
	Dhx30	0,0066293	5,677056605
RNA-binding protein 42	Rbm42	0,0010072	5,651522808
39S ribosomal protein L28, mitochondrial	Mrpl28	0,00079728	5,631144505
Protein EFR3 homolog B	Efr3b	0,0067887	5,511937511
Coiled-coil domain-containing protein 86	Ccdc86	0,0016	5,47066478
Serine/threonine-protein kinase TAO2	Taok2	2,99E-06	5,439903336
Protein FAM64A	Fam64a	9,73E-05	5,428674624
"Phosphoglycerate kinase 1;Phosphoglycerate kinase 2"	"Pgk1;Pgk2"	3,28E-05	5,336952376
Exosome complex component MTR3	Exosc6	0,00073873	5,268455261
Target of rapamycin complex 2 subunit MAPKAP1	Mapkap1	2,63E-12	5,207747666
Targeting protein for Xklp2	Tpx2	0,0057641	5,134869837
	Mki67	0,0028116	5,126832518
	Zc3h7b	0,00010404	5,098777427
RNA methyltransferase-like protein 1	Rnmtl1	0,0099822	5,074656777
Peptidyl-prolyl cis-trans isomerase E	Ppie	8,81E-05	5,017276879
Probable tRNA pseudouridine synthase 2	Trub2	0,0095418	4,998707924
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3	Plcd3	0,0015346	4,99552881
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon	Agpat5	6,48E-06	4,966009723
Mediator of RNA polymerase II transcription subunit 24	Med24	0,0014908	4,959935209
RNA-binding protein 25	Rbm25	0,0017891	4,939825305
Ig kappa chain V-II region 26-10	Igkv1-115	3,35E-15	4,905520686
28S ribosomal protein S31, mitochondrial	Mrps31	0,0043755	4,876413257
Zinc finger MYM-type protein 2	Zmym2	0,0080885	4,870028611
Pseudouridylate synthase 7 homolog-like protein	Pus7l	0,00064881	4,868889957
	Chpf2	0,00038847	4,857803555
RNA-binding protein 33	Rbm33	0,00070405	4,840753173
	Gtf3c3	0,010282	4,840381147
Probable ATP-dependent RNA helicase DHX40	Dhx40	3,92E-06	4,828526696
39S ribosomal protein L54, mitochondrial	Mrpl54	0,0069451	4,806760654
Mitochondrial import inner membrane translocase subunit Tim8 B	Timm8b	0,00075108	4,778927217
Probable ATP-dependent RNA helicase DDX20	Ddx20	2,26E-05	4,763562488
E3 ubiquitin-protein ligase ZFP91	Zfp91	0,0072004	4,76219157
Prolyl 4-hydroxylase subunit alpha-1	P4ha1	0,00022941	4,713875874
Small nuclear ribonucleoprotein F	Snrpf	0,0020224	4,710094729
Survival of motor neuron-related-splicing factor 30	Smndc1	0,0013147	4,67171499
Uncharacterized protein C12orf43 homolog		0,003857	4,611684801
Myeloid leukemia factor 2	Mlf2	6,47E-05	4,551614918
Stefin-1	"BC100530;Stfa1"	0,0089602	4,516982423
Probable ATP-dependent RNA helicase DDX41	Ddx41	2,32E-06	4,357063735
RUN and FYVE domain-containing protein 2	Rufy2	0,0035215	4,354789006
Selenoprotein K	Selk	0,00056009	4,337768974
Pre-mRNA-splicing factor CWC25 homolog	Cwc25	0,0048144	4,317175039
7SK snRNA methylphosphate capping enzyme	Mepce	0,0065857	4,277687871
Zinc finger RNA-binding protein	Zfr	0,0091785	4,276541044
Zinc finger and BTB domain-containing protein 7A	Zbtb7a	0,010554	4,257955835
Protein YIF1B	Yif1b	0,004407	4,249589012
Securin	Pttg1	0,007372	4,236884219
Zinc finger CCCH domain-containing protein 4	Zc3h4	0,0019036	4,230289185
Insulin-degrading enzyme	Ide	0,006564	4,210202319
WD40 repeat-containing protein SMU1	Smu1	0,0033315	4,204951254
Chromatin assembly factor 1 subunit A	Chaf1a	0,0097353	4,200249538
Serine/threonine-protein kinase DCLK2	Dclk2	0,0029129	4,190549334
PC4 and SFRS1-interacting protein	Psip1	0,001203	4,180076813
WD repeat-containing protein 48	Wdr48	2,04E-07	4,170277062
	Try10	0,0033165	4,151567145
Pleckstrin homology-like domain family B member 1	Phldb1	0,0015931	4,137914462
	Atr	0,0043609	4,097764308
RNA-binding protein 34	Rbm34	0,0027809	4,063638331
Zinc finger CCHC domain-containing protein 8	Zcchc8	0,0014041	4,063131813
U6 snRNA-associated Sm-like protein LSm3	Lsm3	0,0057356	4,059374668
DBIRD complex subunit ZNF326	"Zfp326;Znf326"	0,00015233	4,042373598
Probable threonine--tRNA ligase 2, cytoplasmic	Tarsl2	2,52E-06	4,01510592
WD repeat-containing protein 92	Wdr92	0,00017674	4,009030622
Golgi apparatus protein 1	Glg1	0,0043483	3,996818041
Ubiquitin carboxyl-terminal hydrolase 30	Usp30	0,00072451	3,972087282
Mediator of RNA polymerase II transcription subunit 23	Med23	0,0029129	3,959890308
DAZ-associated protein 1	Dazap1	0,0063572	3,958768234
Probable leucine--tRNA ligase, mitochondrial	Lars2	0,002059	3,956302739
Abnormal spindle-like microcephaly-associated protein homolog	Aspm	0,0019728	3,93097432
Luc7-like protein 3	Luc7l3	3,62E-05	3,898296143
	BC051142	0,0094815	3,892542445
Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66	No66	0,0048928	3,885254525
	Hnrnph3	0,010352	3,850105936
	Kif23	0,0028384	3,839781974
Exosome complex component CSL4	Exosc1	0,0010358	3,829715972
FAS-associated factor 2	Faf2	0,0042016	3,825026075
E3 ubiquitin-protein ligase UBR2	Ubr2	0,00018107	3,822656212
Short-chain specific acyl-CoA dehydrogenase, mitochondrial	Acads	1,65E-10	3,820983309
Exosome complex component RRP43	Exosc8	8,19E-07	3,807164499
Bromodomain adjacent to zinc finger domain protein 1A	Baz1a	3,83E-07	3,787348491
Protein quaking	Qki	0,00072413	3,763484115
Protein LSM14 homolog A	Lsm14a	0,0070099	3,732835785
Nucleolar protein 7	Nol7	2,55E-09	3,725584459
Centrosomal protein of 97 kDa	Cep97	3,55E-05	3,687241902
Cleavage and polyadenylation specificity factor subunit 1	Cpsf1	0,0096721	3,682214342
Uncharacterized protein FLJ45252 homolog		0,0011597	3,636265975
	Zfp207	2,53E-05	3,635602383
Insulin receptor substrate 2	Irs2	0,0042225	3,584154818
Chromatin assembly factor 1 subunit B	Chaf1b	0,0021686	3,580094414
"Cohesin subunit SA-2;Cohesin subunit SA-1"	"Stag1;Stag2"	0,00052221	3,559162584
Zinc finger protein-like 1	Zfpl1	0,0001145	3,488495527
Mitofusin-1	Mfn1	7,16E-06	3,46211753
	Ttc13	0,0028193	3,409615473
E3 ubiquitin-protein ligase KCMF1	Kcmf1	1,17E-05	3,385261891
Mediator of RNA polymerase II transcription subunit 20	"Gm20517;Med20"	0,0014525	3,381633528
Dynein light chain roadblock-type 1	Dynlrb1	0,0022118	3,376230507
Zinc finger protein 346	"Zfp346;Znf346"	1,83E-22	3,357536856
TBC1 domain family member 1	Tbc1d1	0,0056822	3,307001551
T-cell leukemia homeobox protein 3	Tlx3	0,0036826	3,283210987
	Upf3b	0,004908	3,268816758
DNA-directed RNA polymerase III subunit RPC6	Polr3f	0,0093164	3,181934793
Chloride intracellular channel protein 1	Clic1	0,0029926	3,180756922
Protein VPRBP	Vprbp	0,0028674	3,165919874
Protein IMPACT	Impact	0,0042375	3,138727448
ATP-binding cassette sub-family F member 3	Abcf3	3,48E-06	3,082041294
Serine/threonine-protein kinase PAK 4	Pak4	0,0061456	3,070845292
3-hydroxy-3-methylglutaryl-coenzyme A reductase	Hmgcr	0,00073341	3,056491199
	Samd4b	1,14E-06	3,056491199
"Adenosylhomocysteinase;Putative adenosylhomocysteinase 2;Putative adenosylhomocysteinase 3"	"Ahcyl2;Ahcyl1"	0,0048402	3,052535816
Proteasome subunit alpha type-4	Psma4	0,0010617	3,019053425
U6 snRNA-associated Sm-like protein LSm2	Lsm2	0,0066485	3,010541237
Calcium uptake protein 1, mitochondrial	Micu1	0,001108	3,006477795
Monocarboxylate transporter 4	Slc16a3	0,0054358	2,98713102
RNA polymerase-associated protein CTR9 homolog	Ctr9	1,17E-08	2,981536738
Transmembrane protein 258	Tmem258	0,0069193	2,947751062
Lanosterol 14-alpha demethylase	Cyp51a1	0,00024296	2,945415434
	Patz1	2,03E-14	2,92018842
HAUS augmin-like complex subunit 1	Haus1	0,0013365	2,905412591
Stathmin-2	Stmn2	0,0069566	2,891000577
Carbohydrate-responsive element-binding protein	Mlxipl	0,0075423	2,880975897
LIM domain-containing protein 2	Limd2	0,00089254	2,854126938
DDB1- and CUL4-associated factor 7	Dcaf7	0,0074174	2,845598257
Gametogenetin-binding protein 2	Ggnbp2	0,0013634	2,833413086
Signal recognition particle 9 kDa protein	Srp9	0,0035557	2,812992433
"Ras-related protein Rab-6B;Ras-related protein Rab-6A;Ras-related protein Rab-39A"	"Rab6a;Rab6b;Rab39a"	1,66E-11	2,799370102
Proteasome subunit alpha type-2	Psma2	0,0010853	2,786970068
DNA/RNA-binding protein KIN17	Kin	0,00020509	2,767683075
Protein FAM76A	Fam76a	0,0012527	2,753214946
Protein NRDE2 homolog	Nrde2	0,010139	2,719851346
Neuroguidin	Ngdn	2,02E-05	2,70106021
Mediator of RNA polymerase II transcription subunit 4	Med4	0,0095269	2,695068477
Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	Pdhb	0,0035508	2,683993319
Diacylglycerol kinase epsilon	Dgke	0,0071867	2,678626006
Nucleolar and spindle-associated protein 1	Nusap1	0,0050785	2,635584452
	Tpm1	0,00065169	2,603840511
Nitric oxide synthase-interacting protein	Nosip	0,0011391	2,593180369
Transcription initiation factor TFIID subunit 10	Taf10	0,0033449	2,587446073
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	Ndufb11	0,0095537	2,55384966
General transcription factor II-I	Gtf2i	8,93E-09	2,517296252
Folylpolyglutamate synthase, mitochondrial	Fpgs	0,00024708	2,49679376
RNA 3-terminal phosphate cyclase	"Rtca;RtcA"	0,004711	2,495003412
26S proteasome non-ATPase regulatory subunit 1	Psmd1	0,00041517	2,46466365
WW domain-binding protein 4	Wbp4	0,00017584	2,442614419
5-AMP-activated protein kinase catalytic subunit alpha-1	Prkaa1	0,0013406	2,432454552
"GTPase HRas;GTPase HRas, N-terminally processed;GTPase KRas;GTPase KRas, N-terminally processed;GTPase NRas"	"Kras;Nras;Hras1"	0,0027756	2,403465529
Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	Pip4k2c	0,00027581	2,390471954
ATP-dependent RNA helicase DDX55	Ddx55	5,88E-06	2,37609569
Proteasome subunit alpha type-1	Psma1	4,02E-06	2,367285084
	Inpp4a	0,0013824	2,331408831
Regulatory-associated protein of mTOR	Rptor	0,0066564	2,327782874
tRNA-splicing endonuclease subunit Sen34	Tsen34	0,0020661	2,317318842
UPF0361 protein C3orf37 homolog		0,0020333	2,312939312
Protein MAK16 homolog	Mak16	0,0031739	2,308001389
DNA replication licensing factor MCM2	Mcm2	0,0091925	2,307358556
Proteasome subunit beta type-1	Psmb1	0,0067644	2,29456169
DNA replication licensing factor MCM6	Mcm6	0,0050076	2,284053929
Zinc finger CCHC domain-containing protein 9	Zcchc9	0,0002104	2,279283757
THUMP domain-containing protein 3	Thumpd3	0,0027016	2,275437035
Nck-associated protein 1	Nckap1	0,00036528	2,254289378
	Bckdha	6,45E-06	2,246806254
Uncharacterized protein C12orf29 homolog		0,0018411	2,216317058
Elongator complex protein 5	Elp5	0,0029405	2,20416657
Glycine dehydrogenase [decarboxylating], mitochondrial	Gldc	0,00014607	2,203967142
Leucine-rich repeat and calponin homology domain-containing protein 4	Lrch4	0,0035775	2,198857903
Guanine nucleotide-binding protein subunit alpha-13	Gna13	0,0069961	2,188561852
COP9 signalosome complex subunit 3	Cops3	0,00026661	2,150080781
ER membrane protein complex subunit 2	Emc2	0,0076331	2,139998657
Vesicle-trafficking protein SEC22a	Sec22a	0,0030799	2,134097018
"Kinesin heavy chain isoform 5C;Kinesin-1 heavy chain;Kinesin heavy chain isoform 5A"	"Kif5b;Kif5c;Kif5a"	0,0043345	2,121800441
Transportin-1	Tnpo1	0,0067971	2,109483266
Calpain small subunit 1	Capns1	0,0063556	2,082407848
	Naa10	0,0033246	2,079782934
"Ubiquitin carboxyl-terminal hydrolase 11;Ubiquitin carboxyl-terminal hydrolase 4;Ubiquitin carboxyl-terminal hydrolase 15"	"Usp11;Usp4;Usp15"	0,0094083	2,057091446
tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like	Dus3l	0,00031656	2,049546517
"Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase"	Gart	3,32E-06	2,040615604
Vacuolar protein sorting-associated protein 29	Vps29	0,0040194	2,020750197
Activator of 90 kDa heat shock protein ATPase homolog 2	Ahsa2	7,46E-05	2,000346288
Signal recognition particle subunit SRP68	Srp68	0,0073309	1,999653795
Ufm1-specific protease 2	Ufsp2	0,00032058	1,982847735
Myotubularin-related protein 5	Sbf1	0,00063359	1,981081018
2-oxoglutarate dehydrogenase, mitochondrial	Ogdh	0,008211	1,979202694
Tumor susceptibility gene 101 protein	Tsg101	0,0017551	1,942196246
	Nans	5,24E-07	1,929061179
Acetoacetyl-CoA synthetase	Aacs	0,0036276	1,83331026
Calnexin	Canx	0,0067408	1,830741998
F-box/WD repeat-containing protein 8	Fbxw8	0,00027555	1,822962441
Reticulon-3	Rtn3	0,00087707	1,809043863
Centromere/kinetochore protein zw10 homolog	Zw10	0,0081061	1,808740575
Long-chain-fatty-acid--CoA ligase 5	Acsl5	0,0044194	1,787268814
Basic leucine zipper and W2 domain-containing protein 2	Bzw2	0,0046493	1,751222306
Dynactin subunit 1	Dctn1	0,0075572	1,745938147
Nuclear envelope pore membrane protein POM 121	Pom121	0,0045738	1,737157966
Mdm2-binding protein	Mtbp	0,0030508	1,721372876
Aflatoxin B1 aldehyde reductase member 2	Akr7a2	0,00038153	1,71524899
Voltage-dependent anion-selective channel protein 1	Vdac1	3,02E-07	1,713213458
